,연수명,내용,별점,등록일
120,유초등을 사로잡는 감동의 그림책 놀이수업,이 연수를 들으면서 아이들과 놀이를 많이 해야겠다는 생각이 들었어요 실제로 몇 가지 놀이를 적용해보니 아이들이 무척 좋아해서 저도 즐거웠어요 좋은 연수 해주셔서 감사합니다^^,rate5,2023.06.29
121,EBS다큐프라임으로 배우는 생태전환교육,평소 관심이 있는 분야라서 얼른 신청하였고 매 시간마다 강의에 빠져 들었다. 인간의 이기심으로 인해 지구상에 있는 각 종에게 닥쳐온 멸종의 위기들을 보면서 정말 가슴 아팠다. 지금 내가 하고 있는 작은 실천들이 얼마나 지구를 지켜내는데 얼마나 영향이 있을까 생각하면서 무력감에 빠지기도 했고 이런 노력들을 비웃는 사람들에 대한 분노가 치밀어 오르기도 했다. 그러나 내가 서 있는 이 곳에서 최선을 다해 지속가능한 환경 보전을 위해 노력하는 것이 나와 우리의 미래를 위해 할 일이라는 것이라는 생각은 더욱 굳어졌다. 연수 듣기를 참 잘했다.,rate5,2023.06.29
122,Talk Talk(똑똑)한 금융교육,금융 교육을 받는 것은 정말 중요한 것 같다. 자녀에게도 연수에서 메모한 내용들을 전해 줄 예정입니다,rate5,2023.06.28
123,"4R'S로 키우는 힘, 기초학력교육","난독증, 난산증에 대해서 많이 알고 있다고 했는데 아주 자세히 알게 되었다. 특히 읽기 난독증, 쓰기 난독증의 특징과 난산증의 특징을 알고 기초 학력 부진 학생들을 돕는데 많은 배움을 얻게 되었다.",rate5,2023.06.28
124,유초등을 사로잡는 감동의 그림책 놀이수업,얼마나 재미있고 즐거운 연수 인지 선생님들이 꼭 함께 공유 하고 추천하고 싶다. 다양한 놀이와 재미있는 책을 알게 되었고 교실에서 열심히 적용하고 있다. 학생들도 많이 즐거워 하고 있다,rate5,2023.06.28
125,수업과 성장을 돕는 과정중심평가_초등 심화,기초 연수에 비해 좀 더 세부적인고 전략적인 방법들을 잘 제시해주었어요. 앞으로 도움 많이 될 것 같습니다.,rate4,2023.06.28
126,미술 속 진짜 아이심리 사로잡기,미술시간에 고민되었던 부분들에 대한 해답을 찾을 수 있는 좋은 연수였습니다. 감사합니다~~^^,rate5,2023.06.28
127,"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기",깊이있는 연수내용으로 구성하셔서 연수를 집중있게 들었습니다.감사합니다.,rate5,2023.06.28
128,설민석의 한국사능력검정시험[심화]-상,소리가 웅웅 울리고 명확하지 않아 전달력이 떨어집니다. 유트브를 통해 볼 수 있는 내용이라 실망했습니다. 교원들을 위한 강의를 제대로 찍어 올려주셨으면 합니다.,rate2,2023.06.28
129,"질문하는 공부법, 하브루타로 생각하고 실행하기",하브루타 러닝은 효율적인 수업설계 과정으로 학생들이 즐겁게 참여하고 생각하는 수업을 실현하는 팁을 준 연수였습니다.,rate5,2023.06.28
130,뚜루뚜루와 함께 처음 시작하는 AI 코딩,개략적인 형태를 훑어보는데 좋은 기회군요 근데 뚜루가 가격이 있네요 ㅠㅠ,rate5,2023.06.27
131,EBS다큐프라임으로 배우는 생태전환교육,"현재 필수로 거론되고 있는 생태전환교육에 꼭 필요한 연수였습니다.
쉽게 이해하고 공감할 수 있어서 학생뿐만 아니라 교사들에게도 환경교육 참여 독려를 수월하게 할수 있을것 같습니다.
고맙습니다.",rate5,2023.06.27
132,유초등을 사로잡는 감동의 그림책 놀이수업,"평소 그림책을 좋아해서 동아리활동을 그림책 읽기부로 운영하고 있습니다. 그림책 수업 관련 지식이 없어 그냥 제가 좋아하는 책을 아이들과 읽고, 생각을 나누고 간단한 활동지를 풀어보는 정도의 수업이었는데 이 연수를 듣고 정말 많은 도움을 받게 되었습니다. 두 분의 강사님이 너무 수업을 알차게 해 주셔서 '저런 선생님께 그림책 수업을 듣는 아이들은 정말 행복하겠다'는 생각을 했습니다. 저도 연수를 통해서 배우고, 익힌 것들을 앞으로 반 친구들과 공유하려고 합니다. 정말 제목 그대로 감동의 그림책수업 연수였습니다. 연수 너무 잘 들었습니다. 감사합니다~^^",rate5,2023.06.27
133,유초등을 사로잡는 감동의 그림책 놀이수업,"소개된 책들도 좋은 책들이 많아서 좋았고, 다양한 활동을 소개해 주시고 참석하신 선생님들의 적극적인 참여를 보는 재미도 컸습니다. 저도 그 현장에서 선생님들과 함께 연수들으며 책 이야기를 하고 싶다는 생각을 했습니다. 소개해 주신 수많은 활동들.. 제 기억속에 모두 다 담지 못하는 아쉬움이 있어 좋은 활동들을 나름대로 메모하며 연수 들었습니다. 연수로 끝나는 것이 아니라 제가 만나는 우리 아이들과 꼭 실천하고 배우고 자라는 시간들을 가지겠습니다. 감사합니다.",rate5,2023.06.27
134,직업탐구 - 별일입니다,"학생들의 호감도가 높은, 꼭 소개해 주고 싶은 미래의 직업들이 잘 선정된 연수였습니다. 특히 그 분야의 직업인들의 실상? 의 경험들과 가끔은 재미를 추가한 실용적인 질문까지 추가한 내용 구성도 흥미를 더해 줍니다. 별의 별 직업이 별별 관심을 충족시켜준 별나고 알찬 연수라 생각됩니다.",rate5,2023.06.27
135,"생각을 꺼내는 교육, 이제는 IB 시대","IB교육이 무엇인지 무척 궁금했다.
이혜정 소장님의 강의로 IB가 무엇인지 자세히 알게 되었다.
우리 교육의 평가 패러다임이 변화해야함을 알지만 대입이라는 난제 앞에서 모든 것이 무용지물이 되는 것을 실감한다.
chatgpt가 등장한 지금 이시대에 우리가 길러야할 인재는 창의적이고 비판적인 인재임에 확실하다.
우리나라에 한국형IB가 공교육 현장에 도입되기를 너무나 바래본다.",rate5,2023.06.26
136,뚜루뚜루와 함께 처음 시작하는 AI 코딩,"안녕하세요. 코딩 바보입니다.

언플러그드는 그래도 좀 괜찮은데..
로봇, 기초코딩 등은 아직도 많이 부족하네요.

그래도 평소 관심있었던 뚜루뚜루와 함께 간단한 명령어나 참/거짓 등을 배울 수 있어 좋았습니다.

함께 실습하며 해볼 수 있는 연수 좋은 것 같습니다!",rate5,2023.06.26
137,한 번에 끝내는 미래 교육! 디지털 어벤져스의 특별한 AI 특강,"뉴스에, 여기 저기 계속 나오는 AI 관련 미래에 관한 여러 가지 용어들에 익숙해 질 수 있는 재미있고도 유용한 연수였습니다~
유명한 전문가 강사진이 너무 좋았습니다.",rate5,2023.06.26
138,"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기","퍼실리테이터로서의 교사의 역할에 대해 분명히 알 수 있었던 유익한 연수 였습니다.
이론을 접하고, 실제로 실천하는 의지가 더욱더 중요한 것 같아요.
꼭 수업시간이나 학급 자치 시간에 활용해야 겠어요.",rate5,2023.06.26
139,"4R'S로 키우는 힘, 기초학력교육",부진아지도에 도움이 되는 연수,rate5,2023.06.26
140,"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기",예전에 배웠던 것들을 그동안 내가 어떻게 사용하고 있었는지 점검하고 반성해보는 기회가 되었습니다.,rate4,2023.06.26
141,교실에서 바로 적용하는 스마트기기 활용 수업,"매일 변화하는 환경속에,,,
교사의 설명보다 유튜브 영상 설명에 더 익숙한 요즘 아이들....
어느것이 더 좋다 나쁘다가 아니라, 옛것과 오늘날의 좋은 점들을 상호 보완하여 사용할수 있다면 더 좋지 않을까?

설명해주시는 활용수업들은 교육청 집합연수 등에서 여기서 조금 저기서 조금 들었는데,,,
각기 여러곳에 흩어져 있던 것들에 대한 정리가 좀 됐던 것 같다.

다만, 애플리케이션이나, 웹사이트에 대한 자세한 설명과 더불어 학생들의 사용모습이나 교실 활용 모습이 좀더 실제적으로 나왔다면 좋았을 것 같다. 강의 듣는 동안 화면을 2개 띄워놓고 따라하는데도 아이들의 계정을 추가하거나 아이들이 참여하는 활동등을 해볼수가 없어서 이해하는데 어려움이 있었다.
고학년 뿐만아니라, 지금 가르치는 3학년 아이들에게도 VR로 미술 감상수업을 한다든지. 구글 바흐를 이용해서 음악 수업을 진행하는 등 주지교과와 예체능 교과에서도 적용할수 있는 다양한 활용수업이어서 좋았던 것 같다!
감사합니다~~",rate5,2023.06.25
142,조병영의 문해력 수업,"문해력의 의밀를 이해하게 되었습니다.
매우 유익한 연수였습니다.",rate5,2023.06.25
143,"기초학력교육, 관계형성이 먼저다.",기초학습 부진인지 기본학습 부진인지 잘 살펴보고 누적된 학습 결손을 학생 스스로 극복할 수 있도록 꺾이지 않는 마음으로 끝까지 잘 지도하는 것이 교사의 역할... 연수에서 알려준 여러 사이트를 효과적으로 잘 활용해 보리라고 다시 한번 다짐해 본다.,rate5,2023.06.25
144,학습격차를 줄이기 위한 슬기로운 수업방안,학습 격차를 위한 학생 지도에 많은 도움을 준 연수입니다,rate5,2023.06.25
145,"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기","오랫동안 교직 경험을 하면서 학생 참여형 수업이 얼마나 필요하고 효율적인지 알고있었다.
이 연수를 들으면서 그러한 내용들이 교사들의 퍼실리테이션 역량이라는 새로운 이름으로 학습되어지고 공부할 수 있어서
정리가 많이되었다.
늘 교사로서 퍼실리테이션 역량에 대하여 생각하고 잊지않고 수업에 적용하려고 노력해야겠다고 다시 한 번 생각해 보게 된 연수였다.
학생들이 수업 중에도 서로 협의하고 소통하며 의견을 제시하고 결론을 이끌어 내는 활기찬 수업을 만들어 보도록 다짐해 본다.",rate5,2023.06.25
146,놀이와 질문이 함께하는 감동의 그림책 수업,"아이스크림에 유익한 연수들 많지만 대부분의 연수를 미루다가 후다닥 들을 때가 많았습니다

이번 연수는 내용도 알차고 실하지만, 우선적으로 강사 선생님으로부터 은은하게 뿜어져 나오는 참교사 아우라 덕분에 연수를 차분하게 온전하게 정속으로 열심히 청강했습니다

내용도 언제 어디서나 적용하기에 적합해서 올해 1학년 아이들 창체 동아리를 그림책 수업으로 정하여 본 연수를 고대로 적용하고 있는 중입니다.

강사선생님께 정말 큰 감사드리고, 다른 선생님들께서도 많이 이수하셔서 수업에 활용하시거나 강사선생님의 아이들에 대한 다정하고 따뜻한 태도를 느껴보시면 좋겠습니다.

강의를 듣는 시간이 힐링이었고, 복습기간동안도 간간히 듣고 있습니다!",rate5,2023.06.24
147,"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기",퍼실리테이션에 대한 용어는 많이 들어 봤지만 그 의미에 대한 연수는 없었습니다. 이 연수를 통해 좀 더 많은 의미를 이해했고 더 많은 노력을 해야 함을 느꼈습니다. 감사합니다.,rate5,2023.06.24
148,"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",쳇GPT 활용방법 사례 설명과 실습이 함께 있어 쉽게 이해할 수 있어 좋았습니다.,rate5,2023.06.24
149,박진희와 함께 하는 교실 속 환경교육,"배우 박진희가 환경보호에 많은 관심을 가지고 노력하시는 것을 들었는데, 실제로 연수를 진행해주시는 것을 통해
다양한 환경보호 실천 방법에 대해 알게 되고 본받아야겠다 생각했습니다. 연수 내용이 실제적이고 현재 도움이 되는 것이 많아서 수업에 적용해봐야겠다 생각한 것이 많네요. 현 시대를 살아가는 저희에게 필수불가결한 환경보호에 대해 쉽게 풀어 접근하게 도와준 강의였습니다.",rate5,2023.06.23
150,교실에서 바로 적용하는 스마트기기 활용 수업,다양한 스마트기기를 활용한 수업을 알 수 있어서 유익하고 좋았습니다.,rate5,2023.06.23
151,직업탐구 - 별일입니다,학생들과 함께 진로와 관련된 동영상 학습하기에 참 좋은 연수입니다. 강추!!,rate5,2023.06.23
152,유초등을 사로잡는 감동의 그림책 놀이수업,"아이들을 사랑하는 선생님의 마음이 느껴지는 연수였어요.
배우는 내내 즐거웠습니다.
감사합니다.",rate5,2023.06.23
153,조병영의 문해력 수업,재미있는 강의는 아닙니다. 문해력 향상을 위한 교수 방법이나 스킬을 알려주는 것이 아니라 이론적인 느낌을 받았습니다. 문해력은 모든 과목에서 길러질 수 있고 필요하다는 이야기를 30차시에 걸쳐서 하는 느낌입니다. 교사와의 대담이 있지만 와닿지 않는 이야기들이라 듣는 동안 스킵하게 되네요.,rate4,2023.06.23
154,직업탐구 - 별일입니다,다양한 직업의 전문가들이 직접 소개하는 영상은 간접 경험을 할 수 있어서 정말 좋았습니다!,rate5,2023.06.23
155,직업탐구 - 별일입니다,"우리 학교에 그림을 좋아하는 학생들이 많아서 항상 진로에 대한 조언을 해줘야 할 필요가 있어서 신청한 연수였어요
AI시대에 없어지는 직업과 새로 생기는 직업들이 많다고 하는 등 학생들의 진로 지도가 어렵고 혼란스러운 시기에 이 연수를 통해서 기존의 직업들과 앞으로 전망 있는 직업에 대하여 어렴풋이 알게 된 것 같아요. 특히 미술과 관련한 일자리나 창업 들을 알게 되어 제 주변에 미술을 좋아하는 학생들에게 어떻게 학업의 방향을 설정하고 공부해야 하는지 진로 상담에 큰 도움이 되었습니다. 요즘 같은 직업 세계가 변화하는 시기에 꼭 필요한 연수를 만들어 제공해 주셔서 아이스크림 연수원 감사해요",rate5,2023.06.23
